"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-FS-A4F8-06A-11R-A266-07",0.0980091675127421,0.00663972613014358,0.0487899417319699,0.0829611188047516,0.0452059456493955,0.0212071049647815,0.222187472061931,0.0520538219852373,0.0507014877401002,0.0177964003993935,0.354447813019553
"TCGA-W3-A825-06A-11R-A352-07",0.018187157889046,0.016123477298103,0.00213457166399551,0.435453558087662,0,0.0687611791992306,0,0.0709758437398277,0.0372490092195878,0,0.351115202902548
"TCGA-GN-A267-06A-21R-A18T-07",0.0178362937566049,0,0.00490119687360171,0.18451952924265,0,0.0267385927332178,0,0.0491225864657314,0.0139316447484296,0,0.702950156179764
"TCGA-D3-A8GQ-06A-11R-A37K-07",0.033440324972177,0.0738444791432873,0,0.122338544159833,0.015636080055916,0.0645426708495259,0.0116319934137693,0.00499019574293922,0.0512081434199733,0.0164980293351064,0.605869538907472
"TCGA-EE-A3JA-06A-11R-A20F-07",0.0222652650508719,0.00484389120924396,0.0211710447536578,0,0.364376041530858,0.0219884487108581,0.00312448994528427,0.0168544712821197,0.0175292040717612,0.0124913700628185,0.515355773382527
"TCGA-GF-A6C9-06A-11R-A311-07",0.133873243423991,0.0631769642017023,0.0609163596338324,0.201753300136554,0,0.0451792451226499,0,0.0217181730595172,0.0342957209366825,0,0.439086993485071
"TCGA-ER-A19A-06A-21R-A18U-07",0.0227026882736271,0.168937878535918,0.0994047754241732,0.157259373923375,0.0807990785854148,0.0395175684686803,0,0.121790061887561,0.107105331961708,0,0.202483242939543
"TCGA-EE-A2GE-06A-11R-A18T-07",0.0298830102815886,0.15927588654863,0.0232113400950889,0.368999951131339,0,0.0426867079758593,0,0.148009053441269,0.039886804266528,0,0.188047246259697
"TCGA-D3-A51G-06A-11R-A266-07",0.0293127050610629,0,0,0.626067011843717,0,0.113669965084022,0,0.0159066639695077,0.0268223967605335,0,0.188221257281157
"TCGA-EE-A29A-06A-12R-A18U-07",0.0263810150516324,0,0,0.446246995817672,0,0.0967453744637905,0,0,0.0324533360751708,0,0.398173278591735
"TCGA-W3-AA21-06A-11R-A38C-07",0.0149447163975422,0.0385269223754097,0.00770976947943995,0.0960067204975001,0.00468218642048645,0.0280515404157452,0.0256875822876268,0.00511486475803456,0.0195153263588204,0,0.759760371009395
"TCGA-FS-A1ZP-06A-11R-A18T-07",0.0480218549701069,0,0,0.498521471905778,0,0.0900934005530822,0.0483463339219882,0.00192571323580008,0.0297534166285678,0,0.283337808784676
"TCGA-D3-A51H-06A-12R-A266-07",0.463162948479307,0.0267366825254666,0.0245768970970504,0,0.147650705763675,0.0194233977443128,0.101565996198337,0.0259634637435803,0.0734427910482279,0.0447031527760303,0.072773964624013
"TCGA-W3-AA1R-06A-11R-A39D-07",0.0167264174465818,0.0161423539707967,0.0105599724153268,0,0.216121572181682,0.00401203957642673,0.0452787964660171,0.00816998777522993,0.0110265486367238,0,0.671962311531215
"TCGA-W3-AA1W-06A-11R-A38C-07",0.0245886548084092,0.144622434240959,0.0121819064870292,0.225909937710744,0,0.0209840764146621,0,0.424736527408356,0.056629357675456,0,0.0903471052543843
"TCGA-EE-A2MP-06A-11R-A18S-07",0.0251380158938496,0.0291904812211092,0.00674656298111045,0.369062124012707,0,0.0570727383939322,0,0.0603145214350199,0.0244083095364889,0,0.428067246525783
"TCGA-ER-A19Q-06A-11R-A18U-07",0.0223923523712863,0.080220668747616,0.0396585013568731,0.123608978311625,0.114834977103004,0.0129292365052234,0.111038671546956,0.0262515091095775,0.0237385692425242,0.00706319488771692,0.438263340817598
"TCGA-EE-A2GD-06A-11R-A18T-07",0,0.0356083848479922,0.019944419378552,0.675227573403827,0,0.082821974590804,0,0,0.00934298951940649,0,0.177054658259418
"TCGA-EE-A2M8-06A-12R-A18S-07",0.0515624671545393,0.0584006385650508,0.0255153240349841,0.297222352911869,0,0.0233681068569472,0,0.366450526824715,0.0753190474602721,0,0.102161536191623
"TCGA-EE-A17X-06A-11R-A18S-07",0.016246796540633,0.00493858484808023,0.0377744102174441,0,0.0620811980264115,0.00692942232057041,0.065170156706429,0.000955908218931237,0.0264462518207512,0.0482001341404715,0.731257137160278
"TCGA-D3-A8GD-06A-11R-A37K-07",0.114933411491345,0.0393629000159967,0.0209269358322439,0.148965427490963,0.123118245310077,0.0310564819672719,0.00131390240428871,0.0941467170756604,0.0957560466430328,0,0.330419931769122
