"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-ER-A1A1-06A-11R-A18U-07",0.267741231489494,0.106129226372466,0.0720878256400338,0.0368746880888305,0,0.209230022815791,0.0337654252526318,0.00629540910458302,0.0336320463981894,0,0.077693211789982,0,0.0104527933575343,0.0603251738838515,0.00902441793247505,0.0555380354583462,0,0.0130219130372431,0,0.00818857937854811,0,0,0,0.580397272933836,0.814270695197526
"TCGA-EE-A2MU-06A-21R-A18S-07",0.0177555151307423,0,0.0297048165502051,0.260133756999701,0,0.0759719952505378,0.0158094332942773,0.0384245583908696,0.0728979215276671,0,0.0736429323028388,0,0.0272141423417128,0.0732507061289444,0.116316247707703,0.187421009454519,0,0,0.0114569649202817,0,0,0,0.09,0.146064974401983,1.04062182555501
"TCGA-D3-A8GL-06A-11R-A37K-07",0,0.0275970892785534,0.00469715626824817,0,0,0.201053810319303,0,0,0.0270476504106059,0,0.146666634554083,0,0,0.334814509175012,0,0.209399415097167,0,0,0,0,0.0487237348970287,0,0.59,0.00513667506878423,1.11860826405558
"TCGA-DA-A1HV-06A-21R-A18S-07",0.0473840787151805,0,0.104709312527596,0.240260252854466,0,0.132316548297165,0.00443019824548765,0.0423286481144618,0.067422575687789,0,0.0586971968560675,0.00133333225373789,0.0431915888755485,0.0501604207434291,0.0678237698927025,0.130936844495251,0,0,0.00564333425894228,0,0,0.00336189818217483,0.03,0.236522154014268,0.9972083898496
"TCGA-D3-A8GC-06A-11R-A37K-07",0.0769722995396738,0,0.208152842788321,0,0,0.140055003205123,0.0298143377124924,0,0,0,0.0349345539632147,0,0,0.152885822296265,0.0294267540768194,0.323867052104512,0,0,0,0,0.00389133431357988,0,0,0.361775728707388,0.939135862220143
"TCGA-D3-A2J9-06A-11R-A18T-07",0.0518777993195668,0,0.0251887134969262,0.323700557778693,0,0.0640896208014821,0,0.0881318064163437,0.0753617403665089,0,0.0814606182221885,0,0.0034848519663961,0.0789337809894508,0.0940755860716107,0.108706068207746,0,0,0,0.0049888563630872,0,0,0.07,0.177675261992793,1.03974817328346
"TCGA-RP-A690-06A-11R-A311-07",0.0675891371276069,0,0,0.0158777188064774,0,0.373414929461566,0,0,0,0,0.0748049876479544,0,0.00723979216869884,0,0.00272197314217652,0.362685955569677,0.0401530242800619,0,0,0,0.0446371016013692,0.0108753801944116,0.85,-0.0220267017897572,1.10202168845192
"TCGA-D9-A1X3-06A-11R-A18S-07",0,0.0642536468003965,0.0187458244628106,0,0,0.281174486360176,0,0.0134061570627534,0.0260895239433047,0,0.187959282218187,0,0,0.189698083195151,0,0.158239140415895,0,0.0171399864832825,0,0.0190977796580608,0,0.0241960893999825,0.85,-0.0218109258255727,1.10965865178056
"TCGA-EE-A3AG-06A-31R-A18S-07",0,0.0527204932762065,0.00495716285884113,0,0,0.215033841641086,0.0315938185084609,0,0.0264303059866211,0,0.151603745514764,0,0,0.45745996419148,0,0,0,0,0,0.0602006680225411,0,0,0.28,0.051912802315288,1.11257798684522
"TCGA-WE-A8ZN-06A-11R-A37K-07",7.47245975806712e-05,0.00182434451612014,0.0161172284592434,0.365070205439732,0,0,0.0417044605718808,0.0212482252547776,0.112995325122918,0,0.0437030925640408,0,0,0.0984407718116117,0.0605074587092662,0.149930251674471,0.0272403451455745,0,0.0603449609788978,0,0.000798605153886512,0,0.07,0.171262796395865,1.02949240585056
"TCGA-GF-A3OT-06A-23R-A239-07",0.00644092120419046,0,0,0.0945297233722077,0,0.169261155553319,0.0185202814299431,0,0.000930872035471121,0,0.106073785182973,0,0,0.233874577550127,0.0617708828483091,0.251952861734326,0,0,0,0.0566449390891343,0,0,0.12,0.128629829278217,1.05119097027708
"TCGA-QB-A6FS-06A-11R-A311-07",0.114494274596338,0,0.0738723169873441,0.317678247949961,0,0,0,0.0260644092205616,0.122158799043225,0,0.0649389812434048,0.0128329693979355,0.0360388043014292,0.0847953738052831,0.0383924572150783,0.0851844269207204,0.0073463301021451,0,0.0162026092165749,0,0,0,0.01,0.29848646138264,0.970810147599212
"TCGA-D3-A1QA-06A-11R-A18T-07",0.04033992323959,0,0.0203407641260302,0.0565623453446971,0,0.0516047913483728,0.0257728412407895,0.0414733962953054,0.0312507991374516,0,0.0738919986719895,0,0,0.164757301031535,0.082468652534057,0.374617411248081,0.00360201886810018,0,0.02740033053756,0,0.0059174263764414,0,0.76,-0.011702712288657,1.10311536001481
